playerID,retroID,kscore,totalER,totalinnings,totalERA
colonba01,colob001,4.2813254500,187,506,3.3261
contrjo01,contj002,8.4721062700,40,87,4.1379
cookaa01,cooka002,3.6213780700,196,317,5.5647
cookry01,cookr001,8.2360768800,42,147,2.5714
corbipa01,corbp001,4.2357174100,133,315,3.8000
cordefr01,cordf002,4.7476908500,83,180,4.1500
cormila01,corml001,2.1511466500,42,74,5.1081
corpama01,corpm001,3.8029982300,79,149,4.7718
correke01,corrk001,3.8209804200,335,654,4.6101
corteda02,cortd002,4.7382871600,9,15,5.4000
cottsne01,cottn001,10.1648581900,7,56,1.1250
crainje01,craij001,10.7496343600,58,216,2.4167
crowaa01,crowa001,7.8163937400,62,172,3.2442
cruzju02,cruzj005,7.0075442100,34,88,3.4773
cruzrh01,cruzr001,3.4657413800,45,76,5.3289
cuetojo01,cuetj001,5.4886576300,201,616,2.9367
daleyma01,dalem002,5.1786437000,18,29,5.5862
danksjo01,dankj001,5.5104696800,277,573,4.3508
darviyu01,darvy001,8.4086636000,149,400,3.3525
davieky01,davik002,4.3173335600,155,244,5.7172
davisdo02,david002,5.6356268000,65,83,7.0482
daviswa01,daviw001,5.9437804400,266,557,4.2980
dedunsa01,dedus001,4.5157816000,87,192,4.0781
defraju01,defrj001,7.1971307100,25,60,3.7500
delabst01,delas001,10.4065406300,51,130,3.5308
delaceu01,delae001,7.5318566500,4,12,3.0000
delarda01,delad001,8.8236103300,38,83,4.1205
delarjo01,delaj001,5.4316372400,156,356,3.9438
delarru01,delar003,7.1706738200,34,71,4.3099
delcama01,delcm001,6.6837729100,29,52,5.0192
delgara01,delgr001,4.8310662100,111,242,4.1281
delosfa01,delof001,6.3148250700,17,36,4.2500
delroen01,delre001,3.5454821400,51,81,5.6667
dempsry01,dempr002,7.4968410700,352,760,4.1684
desseel01,desse001,2.7005578300,12,46,2.3478
detwiro01,detwr001,5.8012264000,130,330,3.5455
devinjo01,devij001,8.2582774100,9,23,3.5217
diamosc01,diams001,2.5058362300,169,340,4.4735
dickera01,dickr001,5.1319716100,307,840,3.2893
diekmja01,diekj001,9.7377684400,23,65,3.1846
dillati01,dillt001,5.2065418000,31,64,4.3594
donnebr01,donnb001,5.9269810600,19,30,5.7000
doolise01,dools001,8.2902153900,40,116,3.1034
doteloc01,doteo001,8.5079536500,80,176,4.0909
doubrfe01,doubf001,6.2701791300,184,357,4.6387
downsda02,downd001,6.0429897500,27,55,4.4182
downssc01,downs001,7.3357643400,54,201,2.4179
duensbr01,duenb001,4.9491143600,221,460,4.3239
duffyda01,duffd001,8.3996542800,83,156,4.7885
dukeza01,dukez001,2.5823098800,166,277,5.3935
dumatph01,dumap001,5.9793930400,18,41,3.9512
dunnmi01,dunnm002,7.2898733400,72,191,3.3927
durbich01,durbc001,7.8394577600,108,212,4.5849
edginjo01,edgij001,7.1352577100,25,53,4.2453
elbersc01,elbes001,6.4987289100,18,65,2.4923
elyjo01,ely-j001,6.1986104500,73,114,5.7632
enrigba01,enrib001,8.7343518900,92,146,5.6712
eovalna01,eovan001,5.0725540200,111,258,3.8721
eppleco01,epplc001,5.5397726300,29,55,4.7455
escaled01,escae001,6.2571019900,50,99,4.5455
estrama01,estrm001,9.2394216300,165,368,4.0353
evelada01,eveld001,3.8478977400,68,114,5.3684
familje01,famij001,5.1825835500,13,22,5.3182
farnsky01,farnk001,4.5413328700,70,184,3.4239
felicpe01,felip002,4.7778050600,28,73,3.4521
felizne01,felin001,5.1429669500,55,173,2.8613
fickch01,fickc001,11.1191520000,12,24,4.5000
fienca01,fienc001,6.3480830000,38,97,3.5258
fiersmi01,fierm001,5.7429854400,71,149,4.2886
fifest01,fifes001,5.8278951300,33,84,3.5357
figaral01,figaa001,4.3014099000,45,87,4.6552
figuene01,figun001,8.0247980700,62,121,4.6116
fistedo01,fistd001,5.1948463900,293,754,3.4973
florera01,florr001,4.1542908700,11,30,3.3000
floydga01,floyg001,6.3695994400,273,571,4.3030
francfr01,franf001,7.4647311000,71,150,4.2600
francje01,franj003,4.1469675900,275,468,5.2885
frankry01,franr001,6.6093856200,51,92,4.9891
frasoja01,frasj002,6.9501290900,84,214,3.5327
freemsa01,frees001,7.8589096300,15,31,4.3548
friedch01,friec001,5.3739232500,58,84,6.2143
frierer01,friee001,11.1982535400,71,227,2.8150
fulchje01,fulcj001,5.0547329600,51,81,5.6667
furbuch01,furbc001,6.5106244900,93,195,4.2923
galarar01,galaa002,3.6490644700,118,210,5.0571
gallase01,galls001,8.0949869900,37,57,5.8421
gallayo01,gally001,5.9487228900,327,776,3.7925
garcich02,garcc002,10.6623636900,3,12,2.2500
garcifr02,garcf002,6.5046527200,241,490,4.4265
garcija01,garcj002,8.4810966900,54,218,2.2294
garcija02,garcj004,8.9084891200,201,533,3.3940
garlajo01,garlj001,4.9911375000,147,321,4.1215
garzama01,garzm001,5.7748176600,273,658,3.7340
gaudich01,gaudc001,7.6451945600,115,239,4.3305
gearrco01,gearc001,5.4819114800,33,69,4.3043
geedi01,gee-d001,5.3655280700,217,500,3.9060
germaju01,germj001,5.1945776700,71,113,5.6549
godfrgr01,godfg001,4.4084645900,26,44,5.3182
gomesbr01,gomeb001,6.8930775200,36,72,4.5000
gomezje01,gomej002,5.3595564400,149,285,4.7053
gonzaed01,gonze001,5.5768550500,31,44,6.3409
gonzagi01,gonzg003,6.6727979700,279,795,3.1585
gonzami02,gonzm001,8.7670875800,75,162,4.1667
gonzami03,gonzm003,4.0181434200,110,276,3.5870
gorzeto01,gorzt001,8.0759987000,169,396,3.8409
grabojo02,grabj002,3.7726608300,54,87,5.5862
grayje02,grayj002,3.1128034100,63,108,5.2500
greense01,grees004,7.2601828100,11,20,4.9500
gregelu01,gregl001,6.7385753000,84,270,2.8000
greggke01,gregk001,3.2965609600,100,222,4.0541
greinza01,greiz001,6.5680040800,309,779,3.5700
